Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:36:46,,
Header Version:,1,,
System Temp hundredths:,2832,,
Detector Temp hundredths:,2766,,
Humidity hundredths:,4146,,
Lamp PD:,3696,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.150098,21515.000000,15228.000000
904.302718,0.159383,24552.000000,17010.000000
908.203423,0.150712,27294.000000,19291.000000
912.099965,0.161354,30233.000000,20851.000000
917.288880,0.168122,35154.000000,23870.000000
921.175709,0.168211,39950.000000,27121.000000
925.058377,0.164260,46021.000000,31528.000000
928.936881,0.167270,52998.000000,36057.000000
932.811223,0.168606,60222.000000,40846.000000
936.681403,0.168329,67147.000000,45572.000000
940.547420,0.167363,73468.000000,49973.000000
944.409274,0.170975,79411.000000,53568.000000
948.266966,0.170985,85015.000000,57347.000000
952.120496,0.173111,90779.000000,60936.000000
955.969862,0.173223,96657.000000,64865.000000
961.095876,0.176448,104792.000000,69804.000000
964.935531,0.177127,111238.000000,73982.000000
968.771023,0.180071,118062.000000,77990.000000
972.602352,0.176693,124925.000000,83168.000000
976.429518,0.179804,131994.000000,87247.000000
980.252523,0.179091,138967.000000,92007.000000
984.071364,0.181871,145920.000000,95994.000000
987.886043,0.182484,152894.000000,100440.000000
991.696560,0.181003,159155.000000,104910.000000
995.502914,0.180373,164870.000000,108835.000000
999.305106,0.180220,170645.000000,112687.000000
1004.368219,0.179666,177445.000000,117327.000000
1008.160698,0.179960,181697.000000,120057.000000
1011.949015,0.179008,185254.000000,122676.000000
1015.733168,0.179186,188105.000000,124513.000000
1019.513160,0.178973,190373.000000,126076.000000
1023.288989,0.178790,191858.000000,127113.000000
1027.060655,0.178471,192972.000000,127945.000000
1030.828159,0.177836,193493.000000,128478.000000
1034.591500,0.176730,193678.000000,128929.000000
1038.350679,0.175645,193541.000000,129160.000000
1042.105695,0.175421,193076.000000,128916.000000
1047.105908,0.175416,192145.000000,128296.000000
1050.851212,0.174086,191816.000000,128469.000000
