Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 17:28:32,,
Header Version:,1,,
System Temp hundredths:,3129,,
Detector Temp hundredths:,3002,,
Humidity hundredths:,3779,,
Lamp PD:,3754,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.003730,10757.000000,10665.000000
904.302718,0.001027,12276.000000,12247.000000
908.203423,-0.009973,13647.000000,13964.000000
912.099965,0.003867,15116.000000,14982.000000
917.288880,0.022072,17577.000000,16706.000000
921.175709,0.023612,19975.000000,18918.000000
925.058377,0.015349,23010.000000,22211.000000
928.936881,0.019629,26499.000000,25328.000000
932.811223,0.022329,30111.000000,28602.000000
936.681403,0.022036,33573.000000,31912.000000
940.547420,0.018649,36734.000000,35190.000000
944.409274,0.021124,39705.000000,37820.000000
948.266966,0.014819,42507.000000,41081.000000
952.120496,0.021005,45389.000000,43246.000000
955.969862,0.018655,48328.000000,46296.000000
961.095876,0.020076,52396.000000,50029.000000
964.935531,0.021874,55619.000000,52887.000000
968.771023,0.024041,59031.000000,55852.000000
972.602352,0.021019,62462.000000,59511.000000
976.429518,0.021081,65997.000000,62870.000000
980.252523,0.017688,69483.000000,66710.000000
984.071364,0.024513,72960.000000,68956.000000
987.886043,0.020091,76447.000000,72991.000000
991.696560,0.017689,79577.000000,76401.000000
995.502914,0.015630,82435.000000,79521.000000
999.305106,0.016284,85322.000000,82182.000000
1004.368219,0.013993,88722.000000,85909.000000
1008.160698,0.012389,90848.000000,88293.000000
1011.949015,0.011382,92627.000000,90231.000000
1015.733168,0.011349,94052.000000,91626.000000
1019.513160,0.010805,95186.000000,92847.000000
1023.288989,0.009742,95929.000000,93801.000000
1027.060655,0.008050,96486.000000,94714.000000
1030.828159,0.009806,96746.000000,94586.000000
1034.591500,0.006493,96839.000000,95402.000000
1038.350679,0.004022,96770.000000,95878.000000
1042.105695,0.003496,96538.000000,95764.000000
1047.105908,0.003955,96072.000000,95201.000000
1050.851212,0.002894,95908.000000,95271.000000
1054.592353,0.001480,95540.000000,95215.000000
1058.329331,0.001015,95088.000000,94866.000000
1062.062147,0.000930,94860.000000,94657.000000
1065.790801,0.001298,94847.000000,94564.000000
1069.515292,-0.002370,94826.000000,95345.000000
1073.235620,-0.001474,94724.000000,95046.000000
1076.951786,0.000005,94702.000000,94701.000000
1080.663789,-0.003109,94917.000000,95599.000000
1084.371630,-0.004367,95179.000000,96141.000000
1089.308943,-0.006340,95205.000000,96605.000000
1093.007071,-0.004763,95494.000000,96547.000000
1096.701037,-0.004352,95910.000000,96876.000000
1100.390840,-0.006497,96131.000000,97580.000000
1104.076481,-0.003310,96194.000000,96930.000000
1107.757959,-0.002266,96326.000000,96830.000000
1111.435274,-0.003829,96541.000000,97396.000000
1115.108427,-0.001879,96617.000000,97036.000000
1118.777418,-0.002435,96578.000000,97121.000000
1122.442246,-0.002220,96588.000000,97083.000000
1126.102912,-0.002982,96533.000000,97198.000000
1130.977324,-0.000886,96419.000000,96616.000000
1134.628277,-0.001946,96439.000000,96872.000000
1138.275067,-0.002281,96451.000000,96959.000000
1141.917695,-0.001453,96414.000000,96737.000000
1145.556160,-0.003446,96416.000000,97184.000000
1149.190463,-0.002870,96359.000000,96998.000000
1152.820603,-0.001605,96422.000000,96779.000000
1156.446581,-0.002332,96566.000000,97086.000000
1160.068396,-0.001538,96699.000000,97042.000000
1163.686049,-0.000233,96877.000000,96929.000000
1167.299539,-0.000518,97163.000000,97279.000000
1172.111051,-0.001335,97755.000000,98056.000000
1175.714828,0.000601,98357.000000,98221.000000
1179.314443,0.001560,99028.000000,98673.000000
1182.909896,0.000565,99933.000000,99803.000000
1186.501186,0.002852,100976.000000,100315.000000
1190.088313,0.005817,102215.000000,100855.000000
1193.671278,0.005343,103449.000000,102184.000000
1197.250081,0.006684,104757.000000,103157.000000
1200.824720,0.009162,106007.000000,103794.000000
1204.395198,0.008193,107503.000000,105494.000000
1207.961512,0.009225,109096.000000,106803.000000
1212.710124,0.011093,111348.000000,108540.000000
1216.266726,0.011088,113064.000000,110214.000000
1219.819166,0.010266,114939.000000,112254.000000
1223.367443,0.008776,116867.000000,114529.000000
1226.911558,0.009524,118707.000000,116132.000000
1230.451510,0.007835,120651.000000,118494.000000
1233.987299,0.006839,122831.000000,120912.000000
1237.518926,0.007327,124926.000000,122836.000000
1241.046391,0.005448,127058.000000,125474.000000
1244.569693,0.003853,129291.000000,128149.000000
1248.088832,0.002698,131595.000000,130780.000000
1252.774543,0.002727,134667.000000,133824.000000
1256.283970,0.003186,136660.000000,135661.000000
1259.789234,0.004800,138655.000000,137131.000000
1263.290336,0.003100,140472.000000,139473.000000
1266.787275,0.001486,142316.000000,141830.000000
1270.280052,0.000724,144126.000000,143886.000000
1273.768666,0.000634,146663.000000,146449.000000
1277.253118,-0.000020,150166.000000,150173.000000
1280.733407,-0.002774,154047.000000,155034.000000
1284.209534,-0.003803,157716.000000,159103.000000
1287.681498,-0.004475,161048.000000,162716.000000
1292.304308,-0.005333,165341.000000,167384.000000
1295.766560,-0.005503,168047.000000,170190.000000
1299.224649,-0.006335,170402.000000,172906.000000
1302.678575,-0.005902,172782.000000,175146.000000
1306.128339,-0.005312,174935.000000,177088.000000
1309.573940,-0.005320,176725.000000,178903.000000
1313.015379,-0.005173,178264.000000,180400.000000
1316.452656,-0.005046,179762.000000,181863.000000
1319.885770,-0.004200,181021.000000,182780.000000
1323.314721,-0.004179,181821.000000,183579.000000
1326.739510,-0.003873,182395.000000,184029.000000
1331.299419,-0.004261,183253.000000,185060.000000
1334.714496,-0.003460,183638.000000,185107.000000
1338.125409,-0.002461,183563.000000,184606.000000
1341.532160,-0.002465,183409.000000,184453.000000
1344.934749,-0.001724,183307.000000,184036.000000
1348.333175,-0.002033,182891.000000,183749.000000
1351.727439,0.000179,182046.000000,181971.000000
1355.117540,-0.000726,181026.000000,181329.000000
1358.503478,-0.000709,179849.000000,180143.000000
1361.885254,-0.000007,178683.000000,178686.000000
1365.262867,-0.000301,177377.000000,177500.000000
1369.759877,0.002124,175414.000000,174558.000000
1373.127778,0.003079,174134.000000,172904.000000
1376.491516,0.006604,173137.000000,170524.000000
1379.851092,0.010237,172426.000000,168409.000000
1383.206505,0.017194,172084.000000,165404.000000
1386.557756,0.023372,172139.000000,163120.000000
1389.904844,0.027870,172194.000000,161491.000000
1393.247769,0.026631,172049.000000,161816.000000
1396.586533,0.025842,171827.000000,161901.000000
1399.921133,0.025973,171640.000000,161676.000000
1403.251571,0.029120,171481.000000,160360.000000
1407.685680,0.036555,171148.000000,157332.000000
1411.006406,0.043650,171079.000000,154720.000000
1414.322969,0.048881,170991.000000,152789.000000
1417.635369,0.055056,170881.000000,150535.000000
1420.943607,0.060906,170720.000000,148381.000000
1424.247682,0.065262,170685.000000,146870.000000
1427.547595,0.070110,170790.000000,145329.000000
1430.843345,0.074948,170905.000000,143816.000000
1434.134933,0.076906,170830.000000,143106.000000
1437.422358,0.079203,170915.000000,142422.000000
