Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 1:39:24,,
Header Version:,1,,
System Temp hundredths:,2853,,
Detector Temp hundredths:,2689,,
Humidity hundredths:,4230,,
Lamp PD:,3697,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.187545,21515.000000,13970.000000
904.302718,0.192393,24552.000000,15765.000000
908.203423,0.185086,27294.000000,17823.000000
912.099965,0.195690,30233.000000,19266.000000
917.288880,0.206921,35154.000000,21830.000000
921.175709,0.207731,39950.000000,24762.000000
925.058377,0.197945,46021.000000,29175.000000
928.936881,0.200890,52998.000000,33371.000000
932.811223,0.203160,60222.000000,37722.000000
936.681403,0.202188,67147.000000,42154.000000
940.547420,0.199141,73468.000000,46447.000000
944.409274,0.202686,79411.000000,49796.000000
948.266966,0.201093,85015.000000,53506.000000
952.120496,0.203041,90779.000000,56878.000000
955.969862,0.200459,96657.000000,60922.000000
961.095876,0.203140,104792.000000,65643.000000
964.935531,0.203488,111238.000000,69625.000000
968.771023,0.205835,118062.000000,73498.000000
972.602352,0.199754,124925.000000,78867.000000
976.429518,0.202618,131994.000000,82782.000000
980.252523,0.200546,138967.000000,87572.000000
984.071364,0.202912,145920.000000,91454.000000
987.886043,0.201726,152894.000000,96087.000000
991.696560,0.199529,159155.000000,100529.000000
995.502914,0.197867,164870.000000,104538.000000
999.305106,0.197289,170645.000000,108344.000000
1004.368219,0.194190,177445.000000,113468.000000
1008.160698,0.193264,181697.000000,116435.000000
1011.949015,0.191113,185254.000000,119304.000000
1015.733168,0.189885,188105.000000,121483.000000
1019.513160,0.187924,190373.000000,123504.000000
1023.288989,0.187110,191858.000000,124701.000000
1027.060655,0.185658,192972.000000,125845.000000
1030.828159,0.184245,193493.000000,126596.000000
1034.591500,0.182620,193678.000000,127192.000000
1038.350679,0.180630,193541.000000,127686.000000
1042.105695,0.180048,193076.000000,127550.000000
1047.105908,0.179309,192145.000000,127151.000000
1050.851212,0.177794,191816.000000,127377.000000
1054.592353,0.175363,191081.000000,127601.000000
1058.329331,0.174784,190177.000000,127167.000000
1062.062147,0.174521,189720.000000,126938.000000
1065.790801,0.172833,189694.000000,127415.000000
1069.515292,0.170337,189652.000000,128121.000000
1073.235620,0.171109,189448.000000,127756.000000
1076.951786,0.169930,189405.000000,128074.000000
1080.663789,0.168346,189835.000000,128834.000000
1084.371630,0.167372,190358.000000,129479.000000
1089.308943,0.165432,190410.000000,130094.000000
1093.007071,0.165912,190988.000000,130345.000000
1096.701037,0.166361,191821.000000,130778.000000
1100.390840,0.165724,192263.000000,131272.000000
1104.076481,0.166800,192389.000000,131033.000000
1107.757959,0.166962,192652.000000,131163.000000
1111.435274,0.166687,193082.000000,131539.000000
1115.108427,0.167439,193234.000000,131415.000000
1118.777418,0.166675,193156.000000,131593.000000
1122.442246,0.166541,193177.000000,131648.000000
1126.102912,0.166486,193066.000000,131589.000000
1130.977324,0.169554,192839.000000,130509.000000
1134.628277,0.169912,192878.000000,130428.000000
1138.275067,0.171599,192903.000000,129939.000000
1141.917695,0.174155,192829.000000,129127.000000
1145.556160,0.176006,192832.000000,128580.000000
1149.190463,0.178310,192718.000000,127824.000000
1152.820603,0.181430,192844.000000,126992.000000
1156.446581,0.184190,193132.000000,126376.000000
1160.068396,0.188420,193399.000000,125324.000000
1163.686049,0.192612,193754.000000,124348.000000
1167.299539,0.194391,194327.000000,124206.000000
1172.111051,0.197627,195511.000000,124035.000000
1175.714828,0.201071,196715.000000,123813.000000
1179.314443,0.201886,198057.000000,124424.000000
1182.909896,0.202773,199867.000000,125305.000000
1186.501186,0.205789,201952.000000,125736.000000
1190.088313,0.208029,204430.000000,126624.000000
1193.671278,0.207946,206898.000000,128177.000000
1197.250081,0.209094,209514.000000,129455.000000
1200.824720,0.209949,212014.000000,130742.000000
1204.395198,0.209089,215006.000000,132850.000000
1207.961512,0.209455,218192.000000,134705.000000
1212.710124,0.210629,222697.000000,137115.000000
1216.266726,0.208629,226129.000000,139871.000000
1219.819166,0.206300,229879.000000,142955.000000
1223.367443,0.204836,233734.000000,145843.000000
1226.911558,0.203410,237415.000000,148627.000000
1230.451510,0.200676,241303.000000,152015.000000
1233.987299,0.199681,245662.000000,155116.000000
1237.518926,0.199031,249852.000000,157998.000000
1241.046391,0.197215,254116.000000,161368.000000
1244.569693,0.195428,258582.000000,164881.000000
1248.088832,0.194521,263190.000000,168170.000000
1252.774543,0.194590,269335.000000,172069.000000
1256.283970,0.195359,273320.000000,174306.000000
1259.789234,0.196602,277310.000000,176345.000000
1263.290336,0.194998,280944.000000,179317.000000
1266.787275,0.194482,284632.000000,181887.000000
1270.280052,0.193381,288252.000000,184668.000000
1273.768666,0.192638,293327.000000,188241.000000
1277.253118,0.190033,300332.000000,193896.000000
1280.733407,0.188738,308094.000000,199501.000000
1284.209534,0.187714,315432.000000,204735.000000
1287.681498,0.185785,322096.000000,209991.000000
1292.304308,0.185172,330682.000000,215893.000000
1295.766560,0.185164,336095.000000,219431.000000
1299.224649,0.184418,340804.000000,222888.000000
1302.678575,0.185080,345564.000000,225657.000000
1306.128339,0.185750,349871.000000,228117.000000
1309.573940,0.186723,353450.000000,229935.000000
1313.015379,0.186997,356528.000000,231791.000000
1316.452656,0.187848,359525.000000,233282.000000
1319.885770,0.189239,362042.000000,234164.000000
1323.314721,0.190526,363642.000000,234503.000000
1326.739510,0.192303,364791.000000,234283.000000
1331.299419,0.195074,366507.000000,233888.000000
1334.714496,0.196893,367277.000000,233400.000000
1338.125409,0.199804,367127.000000,231746.000000
1341.532160,0.202221,366818.000000,230266.000000
1344.934749,0.205815,366614.000000,228241.000000
1348.333175,0.208804,365783.000000,226162.000000
1351.727439,0.212766,364092.000000,223072.000000
1355.117540,0.216113,362052.000000,220119.000000
1358.503478,0.219142,359698.000000,217168.000000
1361.885254,0.221870,357366.000000,214409.000000
1365.262867,0.223750,354755.000000,211923.000000
1369.759877,0.228308,350829.000000,207390.000000
1373.127778,0.230250,348269.000000,204958.000000
1376.491516,0.234265,346275.000000,201909.000000
1379.851092,0.237995,344852.000000,199360.000000
1383.206505,0.242335,344168.000000,196986.000000
1386.557756,0.248655,344279.000000,194203.000000
1389.904844,0.256609,344388.000000,190739.000000
1393.247769,0.263991,344098.000000,187366.000000
1396.586533,0.273844,343654.000000,182927.000000
1399.921133,0.283432,343280.000000,178738.000000
1403.251571,0.295166,342962.000000,173812.000000
1407.685680,0.313756,342297.000000,166206.000000
1411.006406,0.329557,342159.000000,160203.000000
1414.322969,0.344589,341982.000000,154673.000000
1417.635369,0.359831,341763.000000,149243.000000
1420.943607,0.373699,341440.000000,144416.000000
1424.247682,0.384957,341371.000000,140692.000000
1427.547595,0.396582,341580.000000,137060.000000
1430.843345,0.406826,341810.000000,133955.000000
1434.134933,0.412251,341660.000000,132234.000000
1437.422358,0.419718,341831.000000,130045.000000
1440.705621,0.425965,341912.000000,128218.000000
1445.076830,0.433264,342009.000000,126117.000000
1448.350380,0.438773,341676.000000,124406.000000
1451.619767,0.441819,341251.000000,123383.000000
1454.884993,0.446225,340627.000000,121914.000000
1458.146055,0.450044,339855.000000,120573.000000
1461.402955,0.452430,338987.000000,119606.000000
1464.655693,0.457382,337912.000000,117875.000000
1467.904268,0.459095,336614.000000,116960.000000
1471.148680,0.462583,335386.000000,115601.000000
1474.388930,0.464058,334268.000000,114825.000000
1477.625017,0.468186,332996.000000,113306.000000
1481.933325,0.470971,331210.000000,111978.000000
1485.159700,0.471459,329847.000000,111392.000000
1488.381912,0.474237,328376.000000,110188.000000
1491.599962,0.476772,326833.000000,109032.000000
1494.813849,0.475520,325052.000000,108751.000000
1498.023574,0.473413,323143.000000,108638.000000
1501.229136,0.472101,321148.000000,108294.000000
1504.430536,0.468610,319148.000000,108488.000000
1507.627773,0.466474,317184.000000,108352.000000
1510.820847,0.461734,314847.000000,108734.000000
1514.009759,0.458242,312452.000000,108778.000000
1518.255167,0.454373,309396.000000,108678.000000
