Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:12:14,,
Header Version:,1,,
System Temp hundredths:,2955,,
Detector Temp hundredths:,2808,,
Humidity hundredths:,4008,,
Lamp PD:,3690,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.237851,21515.000000,12442.000000
904.302718,0.241114,24552.000000,14092.000000
908.203423,0.233252,27294.000000,15952.000000
912.099965,0.243139,30233.000000,17272.000000
917.288880,0.256899,35154.000000,19457.000000
921.175709,0.255888,39950.000000,22163.000000
925.058377,0.249237,46021.000000,25925.000000
928.936881,0.252411,52998.000000,29638.000000
932.811223,0.253300,60222.000000,33609.000000
936.681403,0.251539,67147.000000,37626.000000
940.547420,0.249423,73468.000000,41369.000000
944.409274,0.250896,79411.000000,44564.000000
948.266966,0.247911,85015.000000,48038.000000
952.120496,0.249607,90779.000000,51095.000000
955.969862,0.248216,96657.000000,54578.000000
961.095876,0.249852,104792.000000,58949.000000
964.935531,0.250366,111238.000000,62501.000000
968.771023,0.252889,118062.000000,65951.000000
972.602352,0.248984,124925.000000,70415.000000
976.429518,0.250572,131994.000000,74128.000000
980.252523,0.247274,138967.000000,78639.000000
984.071364,0.251632,145920.000000,81749.000000
987.886043,0.249912,152894.000000,85996.000000
991.696560,0.247052,159155.000000,90109.000000
995.502914,0.245133,164870.000000,93758.000000
999.305106,0.244249,170645.000000,97240.000000
1004.368219,0.242307,177445.000000,101568.000000
1008.160698,0.241864,181697.000000,104108.000000
1011.949015,0.240202,185254.000000,106553.000000
1015.733168,0.240221,188105.000000,108188.000000
1019.513160,0.239201,190373.000000,109750.000000
1023.288989,0.239186,191858.000000,110610.000000
1027.060655,0.237639,192972.000000,111649.000000
1030.828159,0.237921,193493.000000,111878.000000
1034.591500,0.236449,193678.000000,112365.000000
1038.350679,0.234071,193541.000000,112902.000000
1042.105695,0.234336,193076.000000,112562.000000
1047.105908,0.234144,192145.000000,112069.000000
1050.851212,0.232969,191816.000000,112180.000000
1054.592353,0.231523,191081.000000,112123.000000
