Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 1:13:19,,
Header Version:,1,,
System Temp hundredths:,3258,,
Detector Temp hundredths:,2981,,
Humidity hundredths:,4158,,
Lamp PD:,3752,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.828270,43030.000000,639.000000
904.302718,1.760168,49104.000000,853.000000
908.203423,1.771425,54588.000000,924.000000
912.099965,1.856715,60466.000000,841.000000
917.288880,1.808391,70309.000000,1093.000000
921.175709,1.794664,79901.000000,1282.000000
925.058377,1.784434,92042.000000,1512.000000
928.936881,1.813106,105997.000000,1630.000000
932.811223,1.812445,120445.000000,1855.000000
936.681403,1.811251,134295.000000,2074.000000
940.547420,1.807672,146936.000000,2288.000000
944.409274,1.807338,158823.000000,2475.000000
948.266966,1.791193,170030.000000,2750.000000
952.120496,1.817323,181559.000000,2765.000000
955.969862,1.796588,193315.000000,3088.000000
961.095876,1.785433,209585.000000,3435.000000
964.935531,1.788457,222477.000000,3621.000000
968.771023,1.797031,236125.000000,3768.000000
972.602352,1.798235,249851.000000,3976.000000
976.429518,1.796068,263989.000000,4222.000000
980.252523,1.783456,277934.000000,4576.000000
984.071364,1.807804,291841.000000,4543.000000
987.886043,1.804000,305789.000000,4802.000000
991.696560,1.802494,318311.000000,5016.000000
995.502914,1.787712,329740.000000,5376.000000
999.305106,1.798244,341290.000000,5431.000000
1004.368219,1.789069,354890.000000,5768.000000
1008.160698,1.798675,363394.000000,5777.000000
1011.949015,1.787618,370509.000000,6042.000000
1015.733168,1.795473,376210.000000,6025.000000
1019.513160,1.786775,380746.000000,6221.000000
1023.288989,1.792319,383716.000000,6190.000000
1027.060655,1.795678,385945.000000,6178.000000
1030.828159,1.790775,386987.000000,6265.000000
1034.591500,1.792788,387357.000000,6242.000000
1038.350679,1.782302,387082.000000,6390.000000
1042.105695,1.795912,386153.000000,6178.000000
1047.105908,1.791847,384290.000000,6206.000000
1050.851212,1.795464,383632.000000,6144.000000
1054.592353,1.782631,382162.000000,6304.000000
1058.329331,1.792940,380354.000000,6127.000000
1062.062147,1.789564,379441.000000,6160.000000
1065.790801,1.789786,379389.000000,6156.000000
1069.515292,1.788211,379305.000000,6177.000000
1073.235620,1.800224,378896.000000,6002.000000
1076.951786,1.795018,378810.000000,6073.000000
1080.663789,1.790037,379670.000000,6157.000000
1084.371630,1.786811,380716.000000,6220.000000
1089.308943,1.796602,380820.000000,6083.000000
1093.007071,1.798705,381977.000000,6072.000000
1096.701037,1.796538,383643.000000,6129.000000
1100.390840,1.797396,384527.000000,6131.000000
1104.076481,1.798672,384778.000000,6117.000000
1107.757959,1.805487,385305.000000,6030.000000
1111.435274,1.806240,386165.000000,6033.000000
1115.108427,1.800221,386469.000000,6122.000000
1118.777418,1.800329,386312.000000,6118.000000
