Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 0:10:53,,
Header Version:,1,,
System Temp hundredths:,2950,,
Detector Temp hundredths:,2801,,
Humidity hundredths:,4280,,
Lamp PD:,3685,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.347989,21515.000000,9655.000000
904.302718,0.357911,24552.000000,10769.000000
908.203423,0.328654,27294.000000,12806.000000
912.099965,0.365770,30233.000000,13023.000000
917.288880,0.376095,35154.000000,14787.000000
921.175709,0.378488,39950.000000,16712.000000
925.058377,0.346797,46021.000000,20709.000000
928.936881,0.351053,52998.000000,23616.000000
932.811223,0.370042,60222.000000,25687.000000
936.681403,0.342513,67147.000000,30515.000000
940.547420,0.332377,73468.000000,34176.000000
944.409274,0.342951,79411.000000,36052.000000
948.266966,0.320670,85015.000000,40628.000000
952.120496,0.318569,90779.000000,43593.000000
955.969862,0.295960,96657.000000,48896.000000
961.095876,0.307763,104792.000000,51590.000000
964.935531,0.303261,111238.000000,55334.000000
968.771023,0.297345,118062.000000,59534.000000
972.602352,0.284318,124925.000000,64913.000000
976.429518,0.281265,131994.000000,69070.000000
980.252523,0.274167,138967.000000,73917.000000
984.071364,0.270414,145920.000000,78289.000000
987.886043,0.263433,152894.000000,83360.000000
991.696560,0.257357,159155.000000,87996.000000
995.502914,0.250676,164870.000000,92569.000000
999.305106,0.245945,170645.000000,96861.000000
1004.368219,0.242457,177445.000000,101533.000000
1008.160698,0.234538,181697.000000,105879.000000
1011.949015,0.229736,185254.000000,109152.000000
1015.733168,0.230264,188105.000000,110697.000000
1019.513160,0.223078,190373.000000,113901.000000
1023.288989,0.220624,191858.000000,115440.000000
1027.060655,0.221336,192972.000000,115920.000000
1030.828159,0.215443,193493.000000,117821.000000
1034.591500,0.211179,193678.000000,119097.000000
1038.350679,0.209827,193541.000000,119384.000000
1042.105695,0.204485,193076.000000,120571.000000
1047.105908,0.203338,192145.000000,120307.000000
1050.851212,0.203845,191816.000000,119961.000000
1054.592353,0.197393,191081.000000,121290.000000
1058.329331,0.195104,190177.000000,121354.000000
1062.062147,0.189810,189720.000000,122547.000000
1065.790801,0.192353,189694.000000,121815.000000
1069.515292,0.188423,189652.000000,122895.000000
1073.235620,0.191087,189448.000000,122012.000000
1076.951786,0.187218,189405.000000,123076.000000
1080.663789,0.183542,189835.000000,124404.000000
1084.371630,0.183994,190358.000000,124617.000000
1089.308943,0.178586,190410.000000,126213.000000
1093.007071,0.179149,190988.000000,126432.000000
1096.701037,0.177969,191821.000000,127329.000000
1100.390840,0.174121,192263.000000,128758.000000
1104.076481,0.175061,192389.000000,128564.000000
1107.757959,0.177458,192652.000000,128031.000000
1111.435274,0.173938,193082.000000,129361.000000
1115.108427,0.173827,193234.000000,129496.000000
1118.777418,0.173404,193156.000000,129570.000000
1122.442246,0.172129,193177.000000,129965.000000
1126.102912,0.169972,193066.000000,130537.000000
1130.977324,0.171763,192839.000000,129847.000000
1134.628277,0.166978,192878.000000,131312.000000
1138.275067,0.165602,192903.000000,131746.000000
1141.917695,0.163120,192829.000000,132450.000000
1145.556160,0.164000,192832.000000,132184.000000
1149.190463,0.162575,192718.000000,132540.000000
1152.820603,0.159839,192844.000000,133465.000000
1156.446581,0.162048,193132.000000,132986.000000
1160.068396,0.161627,193399.000000,133299.000000
1163.686049,0.158102,193754.000000,134632.000000
1167.299539,0.161671,194327.000000,133925.000000
1172.111051,0.160497,195511.000000,135106.000000
1175.714828,0.165655,196715.000000,134333.000000
1179.314443,0.161460,198057.000000,136562.000000
1182.909896,0.160771,199867.000000,138029.000000
1186.501186,0.163896,201952.000000,138469.000000
1190.088313,0.164014,204430.000000,140130.000000
1193.671278,0.162460,206898.000000,142330.000000
1197.250081,0.159845,209514.000000,145000.000000
1200.824720,0.165341,212014.000000,144885.000000
1204.395198,0.164068,215006.000000,147361.000000
1207.961512,0.161735,218192.000000,150350.000000
1212.710124,0.167801,222697.000000,151326.000000
1216.266726,0.167075,226129.000000,153915.000000
1219.819166,0.162664,229879.000000,158065.000000
1223.367443,0.165773,233734.000000,159569.000000
1226.911558,0.165811,237415.000000,162068.000000
1230.451510,0.166798,241303.000000,164348.000000
