Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:3:11,,
Header Version:,1,,
System Temp hundredths:,2944,,
Detector Temp hundredths:,2805,,
Humidity hundredths:,4040,,
Lamp PD:,3691,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.702822,43030.000000,853.000000
904.302718,1.763233,49104.000000,847.000000
908.203423,1.858575,54588.000000,756.000000
912.099965,1.842491,60466.000000,869.000000
917.288880,1.794702,70309.000000,1128.000000
921.175709,1.769972,79901.000000,1357.000000
925.058377,1.780432,92042.000000,1526.000000
928.936881,1.837491,105997.000000,1541.000000
932.811223,1.787647,120445.000000,1964.000000
936.681403,1.818643,134295.000000,2039.000000
940.547420,1.810147,146936.000000,2275.000000
944.409274,1.785106,158823.000000,2605.000000
948.266966,1.811396,170030.000000,2625.000000
952.120496,1.789196,181559.000000,2950.000000
955.969862,1.802678,193315.000000,3045.000000
961.095876,1.817297,209585.000000,3192.000000
964.935531,1.810853,222477.000000,3439.000000
968.771023,1.821570,236125.000000,3561.000000
972.602352,1.811431,249851.000000,3857.000000
976.429518,1.802284,263989.000000,4162.000000
980.252523,1.813616,277934.000000,4269.000000
984.071364,1.804281,291841.000000,4580.000000
987.886043,1.799859,305789.000000,4848.000000
991.696560,1.812036,318311.000000,4907.000000
995.502914,1.809156,329740.000000,5117.000000
999.305106,1.803554,341290.000000,5365.000000
1004.368219,1.811948,354890.000000,5472.000000
1008.160698,1.797849,363394.000000,5788.000000
1011.949015,1.807623,370509.000000,5770.000000
1015.733168,1.812152,376210.000000,5798.000000
1019.513160,1.811627,380746.000000,5875.000000
1023.288989,1.816780,383716.000000,5851.000000
1027.060655,1.801694,385945.000000,6093.000000
1030.828159,1.819725,386987.000000,5861.000000
1034.591500,1.800438,387357.000000,6133.000000
1038.350679,1.806766,387082.000000,6040.000000
1042.105695,1.798733,386153.000000,6138.000000
1047.105908,1.812484,384290.000000,5918.000000
1050.851212,1.809617,383632.000000,5947.000000
1054.592353,1.799990,382162.000000,6057.000000
1058.329331,1.816161,380354.000000,5808.000000
1062.062147,1.807336,379441.000000,5913.000000
1065.790801,1.815657,379389.000000,5800.000000
1069.515292,1.805202,379305.000000,5940.000000
1073.235620,1.798491,378896.000000,6026.000000
1076.951786,1.810079,378810.000000,5866.000000
1080.663789,1.796218,379670.000000,6070.000000
1084.371630,1.807254,380716.000000,5934.000000
1089.308943,1.796816,380820.000000,6080.000000
1093.007071,1.804320,381977.000000,5994.000000
1096.701037,1.808608,383643.000000,5961.000000
1100.390840,1.803459,384527.000000,6046.000000
1104.076481,1.801021,384778.000000,6084.000000
1107.757959,1.815984,385305.000000,5886.000000
