Method:,Hadamard,,
Host Date-Time:,14/5/18 @ 0:41:47,,
Header Version:,1,,
System Temp hundredths:,2760,,
Detector Temp hundredths:,2469,,
Humidity hundredths:,4875,,
Lamp PD:,3761,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,1.774633,43030.000000,723.000000
904.302718,1.756618,49104.000000,860.000000
908.203423,1.805131,54588.000000,855.000000
912.099965,1.852604,60466.000000,849.000000
917.288880,1.824170,70309.000000,1054.000000
921.175709,1.829567,79901.000000,1183.000000
925.058377,1.815075,92042.000000,1409.000000
928.936881,1.843450,105997.000000,1520.000000
932.811223,1.808715,120445.000000,1871.000000
936.681403,1.800497,134295.000000,2126.000000
940.547420,1.806535,146936.000000,2294.000000
944.409274,1.797793,158823.000000,2530.000000
948.266966,1.797717,170030.000000,2709.000000
952.120496,1.797519,181559.000000,2894.000000
955.969862,1.794904,193315.000000,3100.000000
961.095876,1.793988,209585.000000,3368.000000
964.935531,1.799264,222477.000000,3532.000000
968.771023,1.800038,236125.000000,3742.000000
972.602352,1.801634,249851.000000,3945.000000
976.429518,1.793197,263989.000000,4250.000000
980.252523,1.785739,277934.000000,4552.000000
984.071364,1.800410,291841.000000,4621.000000
987.886043,1.786886,305789.000000,4995.000000
991.696560,1.795367,318311.000000,5099.000000
995.502914,1.787793,329740.000000,5375.000000
999.305106,1.782230,341290.000000,5635.000000
1004.368219,1.788767,354890.000000,5772.000000
1008.160698,1.790631,363394.000000,5885.000000
1011.949015,1.786040,370509.000000,6064.000000
1015.733168,1.792099,376210.000000,6072.000000
1019.513160,1.791478,380746.000000,6154.000000
1023.288989,1.798182,383716.000000,6107.000000
1027.060655,1.786771,385945.000000,6306.000000
1030.828159,1.793766,386987.000000,6222.000000
1034.591500,1.783699,387357.000000,6374.000000
1038.350679,1.789290,387082.000000,6288.000000
1042.105695,1.784807,386153.000000,6338.000000
1047.105908,1.789057,384290.000000,6246.000000
1050.851212,1.793137,383632.000000,6177.000000
1054.592353,1.786229,382162.000000,6252.000000
1058.329331,1.792020,380354.000000,6140.000000
1062.062147,1.793743,379441.000000,6101.000000
1065.790801,1.791837,379389.000000,6127.000000
1069.515292,1.792592,379305.000000,6115.000000
1073.235620,1.790918,378896.000000,6132.000000
1076.951786,1.787503,378810.000000,6179.000000
1080.663789,1.791026,379670.000000,6143.000000
1084.371630,1.789332,380716.000000,6184.000000
1089.308943,1.788959,380820.000000,6191.000000
1093.007071,1.790136,381977.000000,6193.000000
1096.701037,1.792728,383643.000000,6183.000000
1100.390840,1.800809,384527.000000,6083.000000
1104.076481,1.792678,384778.000000,6202.000000
1107.757959,1.797424,385305.000000,6143.000000
1111.435274,1.800305,386165.000000,6116.000000
1115.108427,1.799017,386469.000000,6139.000000
1118.777418,1.795809,386312.000000,6182.000000
1122.442246,1.797194,386355.000000,6163.000000
1126.102912,1.801548,386132.000000,6098.000000
1130.977324,1.797704,385679.000000,6145.000000
1134.628277,1.803339,385756.000000,6067.000000
1138.275067,1.805189,385807.000000,6042.000000
1141.917695,1.806606,385658.000000,6020.000000
1145.556160,1.803522,385664.000000,6063.000000
1149.190463,1.794473,385437.000000,6187.000000
1152.820603,1.813916,385689.000000,5920.000000
1156.446581,1.808011,386265.000000,6010.000000
1160.068396,1.799670,386798.000000,6135.000000
1163.686049,1.793863,387509.000000,6229.000000
1167.299539,1.799841,388654.000000,6162.000000
1172.111051,1.804457,391022.000000,6134.000000
1175.714828,1.798432,393430.000000,6258.000000
1179.314443,1.800760,396114.000000,6267.000000
1182.909896,1.796610,399734.000000,6385.000000
1186.501186,1.799557,403905.000000,6408.000000
1190.088313,1.808664,408860.000000,6352.000000
1193.671278,1.804074,413797.000000,6497.000000
1197.250081,1.795845,419029.000000,6705.000000
1200.824720,1.804573,424028.000000,6650.000000
1204.395198,1.797536,430012.000000,6854.000000
1207.961512,1.801714,436385.000000,6889.000000
1212.710124,1.806698,445395.000000,6951.000000
1216.266726,1.801506,452258.000000,7143.000000
1219.819166,1.801832,459758.000000,7256.000000
1223.367443,1.798706,467469.000000,7431.000000
1226.911558,1.799168,474831.000000,7540.000000
1230.451510,1.805992,482607.000000,7544.000000
1233.987299,1.802852,491324.000000,7736.000000
1237.518926,1.809131,499704.000000,7755.000000
1241.046391,1.799028,508233.000000,8073.000000
1244.569693,1.796123,517164.000000,8270.000000
1248.088832,1.802274,526380.000000,8299.000000
1252.774543,1.803439,538670.000000,8470.000000
1256.283970,1.800937,546641.000000,8645.000000
1259.789234,1.807130,554620.000000,8647.000000
1263.290336,1.804182,561889.000000,8820.000000
1266.787275,1.806657,569265.000000,8885.000000
1270.280052,1.806561,576505.000000,9000.000000
1273.768666,1.800507,586654.000000,9287.000000
1277.253118,1.805920,600665.000000,9391.000000
1280.733407,1.802718,616188.000000,9705.000000
1284.209534,1.800371,630865.000000,9990.000000
1287.681498,1.805642,644193.000000,10078.000000
1292.304308,1.805584,661364.000000,10348.000000
1295.766560,1.806758,672190.000000,10489.000000
1299.224649,1.802167,681608.000000,10749.000000
1302.678575,1.807061,691129.000000,10777.000000
1306.128339,1.803348,699742.000000,11005.000000
1309.573940,1.805054,706901.000000,11074.000000
1313.015379,1.806044,713057.000000,11145.000000
1316.452656,1.805066,719050.000000,11264.000000
1319.885770,1.809023,724085.000000,11240.000000
1323.314721,1.809510,727284.000000,11277.000000
1326.739510,1.807314,729582.000000,11370.000000
1331.299419,1.809467,733015.000000,11367.000000
1334.714496,1.805590,734554.000000,11493.000000
1338.125409,1.810277,734255.000000,11365.000000
1341.532160,1.809034,733637.000000,11388.000000
1344.934749,1.812045,733228.000000,11303.000000
1348.333175,1.805979,731566.000000,11436.000000
1351.727439,1.808472,728185.000000,11318.000000
1355.117540,1.806569,724104.000000,11304.000000
1358.503478,1.812625,719397.000000,11075.000000
1361.885254,1.807688,714733.000000,11129.000000
1365.262867,1.809645,709510.000000,10998.000000
1369.759877,1.811979,701658.000000,10818.000000
1373.127778,1.809762,696538.000000,10794.000000
1376.491516,1.810864,692550.000000,10705.000000
1379.851092,1.815040,689704.000000,10559.000000
1383.206505,1.810370,688337.000000,10652.000000
1386.557756,1.812881,688558.000000,10594.000000
1389.904844,1.815568,688777.000000,10532.000000
1393.247769,1.814049,688197.000000,10560.000000
1396.586533,1.818451,687308.000000,10440.000000
1399.921133,1.815820,686560.000000,10492.000000
1403.251571,1.814260,685924.000000,10520.000000
1407.685680,1.816649,684594.000000,10442.000000
1411.006406,1.818392,684319.000000,10396.000000
1414.322969,1.821732,683964.000000,10311.000000
1417.635369,1.822509,683527.000000,10286.000000
1420.943607,1.820581,682881.000000,10322.000000
1424.247682,1.826296,682743.000000,10185.000000
1427.547595,1.822319,683161.000000,10285.000000
1430.843345,1.827922,683621.000000,10160.000000
