Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:39:21,,
Header Version:,1,,
System Temp hundredths:,2856,,
Detector Temp hundredths:,2735,,
Humidity hundredths:,4094,,
Lamp PD:,3698,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.171164,21515.000000,14507.000000
904.302718,0.182991,24552.000000,16110.000000
908.203423,0.174590,27294.000000,18259.000000
912.099965,0.188713,30233.000000,19578.000000
917.288880,0.196756,35154.000000,22347.000000
921.175709,0.196290,39950.000000,25423.000000
925.058377,0.190200,46021.000000,29700.000000
928.936881,0.196102,52998.000000,33741.000000
932.811223,0.195752,60222.000000,38371.000000
936.681403,0.195644,67147.000000,42794.000000
940.547420,0.194010,73468.000000,46999.000000
944.409274,0.196426,79411.000000,50519.000000
948.266966,0.195913,85015.000000,54148.000000
952.120496,0.196870,90779.000000,57692.000000
955.969862,0.194392,96657.000000,61779.000000
961.095876,0.197533,104792.000000,66496.000000
964.935531,0.197664,111238.000000,70565.000000
968.771023,0.198853,118062.000000,74689.000000
972.602352,0.193793,124925.000000,79957.000000
976.429518,0.196471,131994.000000,83962.000000
980.252523,0.194313,138967.000000,88838.000000
984.071364,0.195361,145920.000000,93058.000000
987.886043,0.195288,152894.000000,97522.000000
991.696560,0.193352,159155.000000,101969.000000
995.502914,0.191615,164870.000000,106054.000000
999.305106,0.189999,170645.000000,110178.000000
1004.368219,0.187958,177445.000000,115108.000000
1008.160698,0.187495,181697.000000,117992.000000
1011.949015,0.185453,185254.000000,120869.000000
1015.733168,0.184803,188105.000000,122913.000000
1019.513160,0.183829,190373.000000,124674.000000
1023.288989,0.183627,191858.000000,125705.000000
1027.060655,0.182310,192972.000000,126819.000000
1030.828159,0.182202,193493.000000,127193.000000
1034.591500,0.181502,193678.000000,127520.000000
1038.350679,0.180246,193541.000000,127799.000000
1042.105695,0.180603,193076.000000,127387.000000
1047.105908,0.181223,192145.000000,126592.000000
1050.851212,0.180571,191816.000000,126565.000000
1054.592353,0.179484,191081.000000,126396.000000
1058.329331,0.179978,190177.000000,125655.000000
1062.062147,0.180259,189720.000000,125272.000000
1065.790801,0.179573,189694.000000,125453.000000
1069.515292,0.177932,189652.000000,125900.000000
1073.235620,0.178583,189448.000000,125576.000000
1076.951786,0.178153,189405.000000,125672.000000
1080.663789,0.177820,189835.000000,126054.000000
1084.371630,0.177395,190358.000000,126525.000000
1089.308943,0.176194,190410.000000,126910.000000
1093.007071,0.178137,190988.000000,126727.000000
1096.701037,0.179719,191821.000000,126817.000000
1100.390840,0.181201,192263.000000,126676.000000
1104.076481,0.185222,192389.000000,125591.000000
1107.757959,0.190124,192652.000000,124351.000000
1111.435274,0.193509,193082.000000,123661.000000
1115.108427,0.196528,193234.000000,122901.000000
1118.777418,0.197836,193156.000000,122482.000000
1122.442246,0.202152,193177.000000,121284.000000
1126.102912,0.206109,193066.000000,120115.000000
1130.977324,0.213736,192839.000000,117885.000000
1134.628277,0.214049,192878.000000,117824.000000
1138.275067,0.212398,192903.000000,118288.000000
1141.917695,0.209315,192829.000000,119085.000000
1145.556160,0.204333,192832.000000,120461.000000
1149.190463,0.200121,192718.000000,121563.000000
1152.820603,0.199420,192844.000000,121839.000000
1156.446581,0.199697,193132.000000,121943.000000
1160.068396,0.200215,193399.000000,121966.000000
1163.686049,0.202174,193754.000000,121640.000000
1167.299539,0.202472,194327.000000,121916.000000
1172.111051,0.202872,195511.000000,122546.000000
1175.714828,0.204264,196715.000000,122906.000000
1179.314443,0.202630,198057.000000,124211.000000
1182.909896,0.201630,199867.000000,125635.000000
1186.501186,0.201732,201952.000000,126916.000000
1190.088313,0.201679,204430.000000,128489.000000
1193.671278,0.198866,206898.000000,130885.000000
1197.250081,0.198552,209514.000000,132636.000000
1200.824720,0.199260,212014.000000,134000.000000
1204.395198,0.198762,215006.000000,136047.000000
1207.961512,0.199183,218192.000000,137929.000000
1212.710124,0.201977,222697.000000,139874.000000
1216.266726,0.200697,226129.000000,142449.000000
1219.819166,0.199733,229879.000000,145133.000000
1223.367443,0.199806,233734.000000,147542.000000
1226.911558,0.199235,237415.000000,150063.000000
1230.451510,0.196992,241303.000000,153310.000000
1233.987299,0.196729,245662.000000,156174.000000
1237.518926,0.196917,249852.000000,158769.000000
1241.046391,0.195193,254116.000000,162121.000000
1244.569693,0.194764,258582.000000,165133.000000
1248.088832,0.195027,263190.000000,167974.000000
1252.774543,0.195894,269335.000000,171553.000000
1256.283970,0.197850,273320.000000,173309.000000
1259.789234,0.198674,277310.000000,175506.000000
1263.290336,0.197093,280944.000000,178454.000000
1266.787275,0.197227,284632.000000,180741.000000
1270.280052,0.195595,288252.000000,183729.000000
1273.768666,0.195476,293327.000000,187015.000000
1277.253118,0.194470,300332.000000,191925.000000
1280.733407,0.193915,308094.000000,197137.000000
1284.209534,0.193445,315432.000000,202051.000000
1287.681498,0.193103,322096.000000,206482.000000
1292.304308,0.193673,330682.000000,211708.000000
1295.766560,0.194341,336095.000000,214843.000000
1299.224649,0.194533,340804.000000,217757.000000
1302.678575,0.195254,345564.000000,220432.000000
1306.128339,0.195642,349871.000000,222980.000000
1309.573940,0.196648,353450.000000,224740.000000
1313.015379,0.195951,356528.000000,227061.000000
1316.452656,0.195776,359525.000000,229062.000000
1319.885770,0.196523,362042.000000,230269.000000
1323.314721,0.196331,363642.000000,231389.000000
1326.739510,0.196375,364791.000000,232097.000000
