Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 16:22:14,,
Header Version:,1,,
System Temp hundredths:,2960,,
Detector Temp hundredths:,2832,,
Humidity hundredths:,4081,,
Lamp PD:,3757,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.016984,10757.000000,11186.000000
904.302718,-0.002716,12276.000000,12353.000000
908.203423,-0.010346,13647.000000,13976.000000
912.099965,0.012681,15116.000000,14681.000000
917.288880,0.022072,17577.000000,16706.000000
921.175709,0.017955,19975.000000,19166.000000
925.058377,0.002119,23010.000000,22898.000000
928.936881,0.016672,26499.000000,25501.000000
932.811223,0.021676,30111.000000,28645.000000
936.681403,0.013666,33573.000000,32533.000000
940.547420,0.017761,36734.000000,35262.000000
944.409274,0.022538,39705.000000,37697.000000
948.266966,0.024980,42507.000000,40131.000000
952.120496,0.022786,45389.000000,43069.000000
955.969862,0.020065,48328.000000,46146.000000
961.095876,0.026760,52396.000000,49265.000000
964.935531,0.028285,55619.000000,52112.000000
968.771023,0.028889,59031.000000,55232.000000
972.602352,0.020997,62462.000000,59514.000000
976.429518,0.026510,65997.000000,62089.000000
980.252523,0.026547,69483.000000,65363.000000
984.071364,0.026476,72960.000000,68645.000000
987.886043,0.027926,76447.000000,71686.000000
991.696560,0.028043,79577.000000,74601.000000
995.502914,0.027584,82435.000000,77362.000000
999.305106,0.029205,85322.000000,79773.000000
1004.368219,0.027407,88722.000000,83296.000000
1008.160698,0.027845,90848.000000,85206.000000
1011.949015,0.027533,92627.000000,86937.000000
1015.733168,0.027914,94052.000000,88197.000000
1019.513160,0.024413,95186.000000,89983.000000
1023.288989,0.028403,95929.000000,89856.000000
1027.060655,0.028993,96486.000000,90255.000000
1030.828159,0.026367,96746.000000,91047.000000
1034.591500,0.027682,96839.000000,90859.000000
1038.350679,0.027650,96770.000000,90801.000000
1042.105695,0.026612,96538.000000,90800.000000
1047.105908,0.028432,96072.000000,89984.000000
1050.851212,0.026865,95908.000000,90155.000000
1054.592353,0.024031,95540.000000,90397.000000
1058.329331,0.023464,95088.000000,90087.000000
1062.062147,0.023502,94860.000000,89863.000000
1065.790801,0.019254,94847.000000,90734.000000
1069.515292,0.019110,94826.000000,90744.000000
1073.235620,0.020071,94724.000000,90446.000000
1076.951786,0.016050,94702.000000,91266.000000
1080.663789,0.016217,94917.000000,91438.000000
1084.371630,0.016907,95179.000000,91545.000000
1089.308943,0.015084,95205.000000,91955.000000
1093.007071,0.017077,95494.000000,91812.000000
1096.701037,0.017100,95910.000000,92207.000000
1100.390840,0.018349,96131.000000,92154.000000
1104.076481,0.022530,96194.000000,91331.000000
1107.757959,0.026376,96326.000000,90650.000000
1111.435274,0.031136,96541.000000,89862.000000
1115.108427,0.036861,96617.000000,88755.000000
1118.777418,0.038632,96578.000000,88358.000000
