Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 16:50:20,,
Header Version:,1,,
System Temp hundredths:,3153,,
Detector Temp hundredths:,3049,,
Humidity hundredths:,3771,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.019886,10757.000000,11261.000000
904.302718,-0.041245,12276.000000,13499.000000
908.203423,-0.029167,13647.000000,14595.000000
912.099965,-0.032564,15116.000000,16293.000000
917.288880,0.005320,17577.000000,17363.000000
921.175709,-0.006324,19975.000000,20268.000000
925.058377,-0.008800,23010.000000,23481.000000
928.936881,-0.011930,26499.000000,27237.000000
932.811223,-0.004648,30111.000000,30435.000000
936.681403,-0.004210,33573.000000,33900.000000
940.547420,-0.013135,36734.000000,37862.000000
944.409274,-0.004234,39705.000000,40094.000000
948.266966,-0.013004,42507.000000,43799.000000
952.120496,0.002043,45389.000000,45176.000000
955.969862,-0.006803,48328.000000,49091.000000
961.095876,-0.004765,52396.000000,52974.000000
964.935531,-0.000936,55619.000000,55739.000000
968.771023,0.000412,59031.000000,58975.000000
972.602352,0.003757,62462.000000,61924.000000
976.429518,-0.003017,65997.000000,66457.000000
980.252523,0.005308,69483.000000,68639.000000
984.071364,0.013131,72960.000000,70787.000000
987.886043,0.004643,76447.000000,75634.000000
991.696560,0.011508,79577.000000,77496.000000
995.502914,0.006652,82435.000000,81182.000000
999.305106,0.011439,85322.000000,83104.000000
1004.368219,0.006739,88722.000000,87356.000000
1008.160698,0.001993,90848.000000,90432.000000
1011.949015,0.006172,92627.000000,91320.000000
1015.733168,0.005273,94052.000000,92917.000000
1019.513160,0.004591,95186.000000,94185.000000
1023.288989,0.001378,95929.000000,95625.000000
1027.060655,0.003593,96486.000000,95691.000000
1030.828159,0.005489,96746.000000,95531.000000
1034.591500,-0.001549,96839.000000,97185.000000
1038.350679,0.002078,96770.000000,96308.000000
1042.105695,-0.001738,96538.000000,96925.000000
1047.105908,0.002266,96072.000000,95572.000000
1050.851212,0.000798,95908.000000,95732.000000
1054.592353,0.000086,95540.000000,95521.000000
1058.329331,-0.001896,95088.000000,95504.000000
1062.062147,-0.000750,94860.000000,95024.000000
1065.790801,-0.000439,94847.000000,94943.000000
1069.515292,-0.008679,94826.000000,96740.000000
1073.235620,-0.002801,94724.000000,95337.000000
1076.951786,-0.001305,94702.000000,94987.000000
1080.663789,-0.009974,94917.000000,97122.000000
1084.371630,-0.004530,95179.000000,96177.000000
1089.308943,-0.008461,95205.000000,97078.000000
1093.007071,-0.006464,95494.000000,96926.000000
1096.701037,-0.006744,95910.000000,97411.000000
1100.390840,-0.011361,96131.000000,98679.000000
1104.076481,-0.002296,96194.000000,96704.000000
1107.757959,-0.004807,96326.000000,97398.000000
1111.435274,-0.009280,96541.000000,98626.000000
1115.108427,-0.002925,96617.000000,97270.000000
1118.777418,-0.006193,96578.000000,97965.000000
1122.442246,-0.007250,96588.000000,98214.000000
1126.102912,-0.007210,96533.000000,98149.000000
1130.977324,-0.004922,96419.000000,97518.000000
1134.628277,-0.003253,96439.000000,97164.000000
1138.275067,-0.003444,96451.000000,97219.000000
1141.917695,0.000279,96414.000000,96352.000000
1145.556160,-0.002116,96416.000000,96887.000000
1149.190463,0.005324,96359.000000,95185.000000
1152.820603,0.005339,96422.000000,95244.000000
1156.446581,0.006493,96566.000000,95133.000000
1160.068396,0.011579,96699.000000,94155.000000
1163.686049,0.013389,96877.000000,93936.000000
1167.299539,0.016620,97163.000000,93515.000000
1172.111051,0.019114,97755.000000,93546.000000
1175.714828,0.027589,98357.000000,92303.000000
1179.314443,0.032953,99028.000000,91792.000000
1182.909896,0.030689,99933.000000,93115.000000
1186.501186,0.040766,100976.000000,91929.000000
