Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 17:2:42,,
Header Version:,1,,
System Temp hundredths:,3137,,
Detector Temp hundredths:,3049,,
Humidity hundredths:,3916,,
Lamp PD:,3753,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.028251,10757.000000,11480.000000
904.302718,-0.027783,12276.000000,13087.000000
908.203423,-0.034990,13647.000000,14792.000000
912.099965,-0.016131,15116.000000,15688.000000
917.288880,0.003324,17577.000000,17443.000000
921.175709,0.007611,19975.000000,19628.000000
925.058377,0.003658,23010.000000,22817.000000
928.936881,0.004514,26499.000000,26225.000000
932.811223,0.006950,30111.000000,29633.000000
936.681403,0.009905,33573.000000,32816.000000
940.547420,0.004015,36734.000000,36396.000000
944.409274,0.007547,39705.000000,39021.000000
948.266966,0.002161,42507.000000,42296.000000
952.120496,0.008786,45389.000000,44480.000000
955.969862,0.006227,48328.000000,47640.000000
961.095876,0.008183,52396.000000,51418.000000
964.935531,0.011697,55619.000000,54141.000000
968.771023,0.016472,59031.000000,56834.000000
972.602352,0.012012,62462.000000,60758.000000
976.429518,0.012815,65997.000000,64078.000000
980.252523,0.013283,69483.000000,67390.000000
984.071364,0.018838,72960.000000,69863.000000
987.886043,0.016394,76447.000000,73615.000000
991.696560,0.016962,79577.000000,76529.000000
995.502914,0.017189,82435.000000,79236.000000
999.305106,0.019057,85322.000000,81659.000000
1004.368219,0.019994,88722.000000,84730.000000
1008.160698,0.018477,90848.000000,87064.000000
1011.949015,0.018012,92627.000000,88864.000000
1015.733168,0.020358,94052.000000,89745.000000
1019.513160,0.018835,95186.000000,91146.000000
1023.288989,0.017827,95929.000000,92071.000000
1027.060655,0.017624,96486.000000,92649.000000
1030.828159,0.018029,96746.000000,92812.000000
1034.591500,0.014635,96839.000000,93630.000000
1038.350679,0.014716,96770.000000,93546.000000
1042.105695,0.015418,96538.000000,93171.000000
1047.105908,0.015897,96072.000000,92619.000000
1050.851212,0.016032,95908.000000,92432.000000
1054.592353,0.012137,95540.000000,92907.000000
1058.329331,0.011932,95088.000000,92511.000000
1062.062147,0.011186,94860.000000,92448.000000
1065.790801,0.012020,94847.000000,92258.000000
1069.515292,0.007535,94826.000000,93195.000000
1073.235620,0.009446,94724.000000,92686.000000
1076.951786,0.009214,94702.000000,92714.000000
1080.663789,0.005285,94917.000000,93769.000000
1084.371630,0.005862,95179.000000,93903.000000
1089.308943,0.002961,95205.000000,94558.000000
1093.007071,0.004816,95494.000000,94441.000000
1096.701037,0.005766,95910.000000,94645.000000
1100.390840,0.002628,96131.000000,95551.000000
1104.076481,0.004853,96194.000000,95125.000000
1107.757959,0.007137,96326.000000,94756.000000
1111.435274,0.002115,96541.000000,96072.000000
1115.108427,0.003674,96617.000000,95803.000000
1118.777418,0.003762,96578.000000,95745.000000
1122.442246,0.000977,96588.000000,96371.000000
1126.102912,0.000441,96533.000000,96435.000000
1130.977324,0.003260,96419.000000,95698.000000
1134.628277,0.001941,96439.000000,96009.000000
1138.275067,0.003763,96451.000000,95619.000000
1141.917695,0.005015,96414.000000,95307.000000
1145.556160,0.006124,96416.000000,95066.000000
1149.190463,0.009330,96359.000000,94311.000000
1152.820603,0.013555,96422.000000,93459.000000
1156.446581,0.013479,96566.000000,93615.000000
1160.068396,0.016930,96699.000000,93002.000000
1163.686049,0.020257,96877.000000,92462.000000
1167.299539,0.024540,97163.000000,91825.000000
1172.111051,0.027093,97755.000000,91843.000000
1175.714828,0.032182,98357.000000,91332.000000
1179.314443,0.033616,99028.000000,91652.000000
1182.909896,0.034573,99933.000000,92286.000000
1186.501186,0.040860,100976.000000,91909.000000
1190.088313,0.045434,102215.000000,92062.000000
1193.671278,0.047249,103449.000000,92785.000000
1197.250081,0.050250,104757.000000,93311.000000
1200.824720,0.055476,106007.000000,93295.000000
1204.395198,0.056762,107503.000000,94332.000000
1207.961512,0.058015,109096.000000,95454.000000
1212.710124,0.062056,111348.000000,96522.000000
1216.266726,0.062329,113064.000000,97948.000000
1219.819166,0.061076,114939.000000,99860.000000
1223.367443,0.059322,116867.000000,101946.000000
1226.911558,0.059242,118707.000000,103570.000000
1230.451510,0.058414,120651.000000,105467.000000
1233.987299,0.055997,122831.000000,107972.000000
1237.518926,0.056090,124926.000000,109790.000000
1241.046391,0.055591,127058.000000,111792.000000
1244.569693,0.052357,129291.000000,114607.000000
1248.088832,0.052586,131595.000000,116588.000000
1252.774543,0.054098,134667.000000,118895.000000
1256.283970,0.053992,136660.000000,120684.000000
1259.789234,0.056342,138655.000000,121785.000000
1263.290336,0.054890,140472.000000,123794.000000
1266.787275,0.054143,142316.000000,125635.000000
1270.280052,0.054279,144126.000000,127193.000000
1273.768666,0.054212,146663.000000,129452.000000
1277.253118,0.051393,150166.000000,133407.000000
1280.733407,0.047394,154047.000000,138121.000000
1284.209534,0.046209,157716.000000,141797.000000
