Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:41:33,,
Header Version:,1,,
System Temp hundredths:,2874,,
Detector Temp hundredths:,2823,,
Humidity hundredths:,4065,,
Lamp PD:,3695,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.229280,21515.000000,12690.000000
904.302718,0.233719,24552.000000,14334.000000
908.203423,0.232110,27294.000000,15994.000000
912.099965,0.238188,30233.000000,17470.000000
917.288880,0.246533,35154.000000,19927.000000
921.175709,0.242004,39950.000000,22883.000000
925.058377,0.238630,46021.000000,26566.000000
928.936881,0.242401,52998.000000,30329.000000
932.811223,0.242818,60222.000000,34430.000000
936.681403,0.242221,67147.000000,38442.000000
940.547420,0.239491,73468.000000,42326.000000
944.409274,0.241602,79411.000000,45528.000000
948.266966,0.240631,85015.000000,48850.000000
952.120496,0.241940,90779.000000,52005.000000
955.969862,0.239870,96657.000000,55637.000000
961.095876,0.244339,104792.000000,59702.000000
964.935531,0.244760,111238.000000,63313.000000
968.771023,0.246833,118062.000000,66877.000000
972.602352,0.244206,124925.000000,71194.000000
976.429518,0.246658,131994.000000,74799.000000
980.252523,0.246634,138967.000000,78755.000000
984.071364,0.249058,145920.000000,82235.000000
987.886043,0.248813,152894.000000,86214.000000
991.696560,0.247795,159155.000000,89955.000000
995.502914,0.245931,164870.000000,93586.000000
999.305106,0.245864,170645.000000,96879.000000
1004.368219,0.244377,177445.000000,101085.000000
1008.160698,0.245075,181697.000000,103341.000000
1011.949015,0.244573,185254.000000,105486.000000
1015.733168,0.244891,188105.000000,107031.000000
1019.513160,0.244957,190373.000000,108305.000000
1023.288989,0.245430,191858.000000,109031.000000
1027.060655,0.244339,192972.000000,109940.000000
1030.828159,0.244630,193493.000000,110163.000000
1034.591500,0.243027,193678.000000,110676.000000
1038.350679,0.242006,193541.000000,110858.000000
1042.105695,0.241236,193076.000000,110788.000000
1047.105908,0.241388,192145.000000,110215.000000
1050.851212,0.239680,191816.000000,110460.000000
1054.592353,0.238540,191081.000000,110326.000000
1058.329331,0.238394,190177.000000,109841.000000
1062.062147,0.238168,189720.000000,109634.000000
1065.790801,0.237107,189694.000000,109887.000000
1069.515292,0.235028,189652.000000,110390.000000
1073.235620,0.235671,189448.000000,110108.000000
1076.951786,0.235304,189405.000000,110176.000000
1080.663789,0.234076,189835.000000,110739.000000
