Method:,Hadamard,,
Host Date-Time:,6/5/18 @ 18:29:38,,
Header Version:,1,,
System Temp hundredths:,3070,,
Detector Temp hundredths:,2924,,
Humidity hundredths:,3833,,
Lamp PD:,3755,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,16,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,-0.021310,10757.000000,11298.000000
904.302718,-0.007714,12276.000000,12496.000000
908.203423,-0.018717,13647.000000,14248.000000
912.099965,-0.001606,15116.000000,15172.000000
917.288880,0.010124,17577.000000,17172.000000
921.175709,0.012484,19975.000000,19409.000000
925.058377,0.009734,23010.000000,22500.000000
928.936881,0.009662,26499.000000,25916.000000
932.811223,0.014653,30111.000000,29112.000000
936.681403,0.013626,33573.000000,32536.000000
940.547420,0.011598,36734.000000,35766.000000
944.409274,0.016168,39705.000000,38254.000000
948.266966,0.016132,42507.000000,40957.000000
952.120496,0.020824,45389.000000,43264.000000
955.969862,0.019359,48328.000000,46221.000000
961.095876,0.025281,52396.000000,49433.000000
964.935531,0.027228,55619.000000,52239.000000
968.771023,0.032260,59031.000000,54805.000000
972.602352,0.028817,62462.000000,58452.000000
976.429518,0.035242,65997.000000,60853.000000
980.252523,0.033641,69483.000000,64304.000000
984.071364,0.035063,72960.000000,67301.000000
987.886043,0.036022,76447.000000,70362.000000
991.696560,0.034896,79577.000000,73433.000000
995.502914,0.034567,82435.000000,76128.000000
999.305106,0.034331,85322.000000,78837.000000
1004.368219,0.033672,88722.000000,82103.000000
1008.160698,0.034564,90848.000000,83898.000000
1011.949015,0.032856,92627.000000,85878.000000
1015.733168,0.033300,94052.000000,87110.000000
1019.513160,0.032730,95186.000000,88276.000000
1023.288989,0.032360,95929.000000,89041.000000
1027.060655,0.032074,96486.000000,89617.000000
1030.828159,0.031304,96746.000000,90018.000000
1034.591500,0.030690,96839.000000,90232.000000
1038.350679,0.029308,96770.000000,90455.000000
1042.105695,0.029848,96538.000000,90126.000000
1047.105908,0.028823,96072.000000,89903.000000
1050.851212,0.027733,95908.000000,89975.000000
1054.592353,0.025422,95540.000000,90108.000000
1058.329331,0.025784,95088.000000,89607.000000
1062.062147,0.025362,94860.000000,89479.000000
1065.790801,0.023467,94847.000000,89858.000000
1069.515292,0.021475,94826.000000,90251.000000
1073.235620,0.022029,94724.000000,90039.000000
1076.951786,0.020498,94702.000000,90336.000000
1080.663789,0.019770,94917.000000,90693.000000
1084.371630,0.019047,95179.000000,91095.000000
1089.308943,0.017348,95205.000000,91477.000000
1093.007071,0.017171,95494.000000,91792.000000
1096.701037,0.017519,95910.000000,92118.000000
1100.390840,0.016431,96131.000000,92562.000000
1104.076481,0.017547,96194.000000,92385.000000
1107.757959,0.017729,96326.000000,92473.000000
1111.435274,0.017028,96541.000000,92829.000000
1115.108427,0.017248,96617.000000,92855.000000
1118.777418,0.016844,96578.000000,92904.000000
1122.442246,0.016566,96588.000000,92973.000000
1126.102912,0.015083,96533.000000,93238.000000
1130.977324,0.017589,96419.000000,92592.000000
1134.628277,0.016915,96439.000000,92755.000000
1138.275067,0.018710,96451.000000,92384.000000
1141.917695,0.020371,96414.000000,91996.000000
1145.556160,0.022216,96416.000000,91608.000000
1149.190463,0.023426,96359.000000,91299.000000
1152.820603,0.026507,96422.000000,90713.000000
1156.446581,0.029079,96566.000000,90312.000000
1160.068396,0.032867,96699.000000,89651.000000
1163.686049,0.037329,96877.000000,88898.000000
1167.299539,0.040067,97163.000000,88600.000000
1172.111051,0.043647,97755.000000,88408.000000
1175.714828,0.048891,98357.000000,87885.000000
1179.314443,0.050280,99028.000000,88202.000000
1182.909896,0.054565,99933.000000,88134.000000
1186.501186,0.059341,100976.000000,88080.000000
1190.088313,0.063279,102215.000000,88356.000000
1193.671278,0.065039,103449.000000,89061.000000
1197.250081,0.067715,104757.000000,89633.000000
1200.824720,0.069757,106007.000000,90277.000000
1204.395198,0.070527,107503.000000,91389.000000
1207.961512,0.071770,109096.000000,92478.000000
1212.710124,0.074318,111348.000000,93835.000000
1216.266726,0.073348,113064.000000,95494.000000
1219.819166,0.072033,114939.000000,97372.000000
1223.367443,0.071491,116867.000000,99129.000000
1226.911558,0.070430,118707.000000,100936.000000
1230.451510,0.068108,120651.000000,103139.000000
1233.987299,0.068073,122831.000000,105011.000000
1237.518926,0.067131,124926.000000,107034.000000
1241.046391,0.065676,127058.000000,109226.000000
1244.569693,0.064972,129291.000000,111326.000000
1248.088832,0.063895,131595.000000,113591.000000
1252.774543,0.064668,134667.000000,116036.000000
1256.283970,0.066195,136660.000000,117340.000000
1259.789234,0.067434,138655.000000,118714.000000
1263.290336,0.066343,140472.000000,120572.000000
1266.787275,0.066470,142316.000000,122119.000000
1270.280052,0.065559,144126.000000,123932.000000
1273.768666,0.065364,146663.000000,126170.000000
1277.253118,0.062648,150166.000000,129994.000000
1280.733407,0.061502,154047.000000,133706.000000
1284.209534,0.060674,157716.000000,137152.000000
1287.681498,0.058754,161048.000000,140670.000000
1292.304308,0.058200,165341.000000,144604.000000
1295.766560,0.058264,168047.000000,146949.000000
1299.224649,0.057392,170402.000000,149308.000000
1302.678575,0.057614,172782.000000,151316.000000
1306.128339,0.058296,174935.000000,152961.000000
1309.573940,0.059107,176725.000000,154238.000000
1313.015379,0.059138,178264.000000,155570.000000
1316.452656,0.059912,179762.000000,156598.000000
1319.885770,0.061492,181021.000000,157122.000000
1323.314721,0.062176,181821.000000,157568.000000
1326.739510,0.063688,182395.000000,157516.000000
1331.299419,0.066253,183253.000000,157325.000000
1334.714496,0.067538,183638.000000,157190.000000
1338.125409,0.070213,183563.000000,156161.000000
1341.532160,0.072067,183409.000000,155365.000000
1344.934749,0.075768,183307.000000,153961.000000
1348.333175,0.078541,182891.000000,152634.000000
1351.727439,0.082604,182046.000000,150514.000000
1355.117540,0.086802,181026.000000,148231.000000
1358.503478,0.090285,179849.000000,146091.000000
1361.885254,0.093914,178683.000000,143936.000000
1365.262867,0.096759,177377.000000,141951.000000
1369.759877,0.101903,175414.000000,138727.000000
1373.127778,0.105306,174134.000000,136640.000000
1376.491516,0.109603,173137.000000,134520.000000
1379.851092,0.115086,172426.000000,132287.000000
1383.206505,0.122526,172084.000000,129782.000000
1386.557756,0.131826,172139.000000,127073.000000
1389.904844,0.138105,172194.000000,125289.000000
1393.247769,0.139114,172049.000000,124893.000000
1396.586533,0.139430,171827.000000,124641.000000
1399.921133,0.142505,171640.000000,123627.000000
1403.251571,0.150069,171481.000000,121380.000000
1407.685680,0.164522,171148.000000,117179.000000
1411.006406,0.179005,171079.000000,113290.000000
1414.322969,0.193301,170991.000000,109565.000000
1417.635369,0.208569,170881.000000,105712.000000
1420.943607,0.223263,170720.000000,102099.000000
1424.247682,0.233348,170685.000000,99735.000000
1427.547595,0.240448,170790.000000,98178.000000
1430.843345,0.245437,170905.000000,97122.000000
1434.134933,0.245153,170830.000000,97143.000000
1437.422358,0.248568,170915.000000,96430.000000
1440.705621,0.251741,170956.000000,95751.000000
1445.076830,0.257235,171004.000000,94574.000000
1448.350380,0.261309,170838.000000,93600.000000
1451.619767,0.264153,170625.000000,92873.000000
1454.884993,0.268329,170313.000000,91816.000000
1458.146055,0.273259,169927.000000,90574.000000
1461.402955,0.276195,169493.000000,89734.000000
