Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 0:37:48,,
Header Version:,1,,
System Temp hundredths:,2882,,
Detector Temp hundredths:,2794,,
Humidity hundredths:,4193,,
Lamp PD:,3680,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.384182,21515.000000,8883.000000
904.302718,0.400548,24552.000000,9762.000000
908.203423,0.386772,27294.000000,11202.000000
912.099965,0.408562,30233.000000,11801.000000
917.288880,0.412404,35154.000000,13601.000000
921.175709,0.405230,39950.000000,15714.000000
925.058377,0.389700,46021.000000,18761.000000
928.936881,0.392023,52998.000000,21490.000000
932.811223,0.390093,60222.000000,24528.000000
936.681403,0.382966,67147.000000,27801.000000
940.547420,0.377886,73468.000000,30776.000000
944.409274,0.375523,79411.000000,33447.000000
948.266966,0.371147,85015.000000,36170.000000
952.120496,0.368114,90779.000000,38893.000000
955.969862,0.361633,96657.000000,42034.000000
961.095876,0.358922,104792.000000,45857.000000
964.935531,0.356518,111238.000000,48948.000000
968.771023,0.354664,118062.000000,52173.000000
972.602352,0.343864,124925.000000,56596.000000
976.429518,0.343809,131994.000000,59806.000000
980.252523,0.339004,138967.000000,63666.000000
984.071364,0.339215,145920.000000,66819.000000
987.886043,0.335986,152894.000000,70535.000000
991.696560,0.333041,159155.000000,73923.000000
995.502914,0.331187,164870.000000,76905.000000
999.305106,0.329405,170645.000000,79926.000000
1004.368219,0.326343,177445.000000,83699.000000
1008.160698,0.326205,181697.000000,85732.000000
1011.949015,0.323680,185254.000000,87920.000000
1015.733168,0.323398,188105.000000,89331.000000
1019.513160,0.320884,190373.000000,90933.000000
1023.288989,0.321141,191858.000000,91588.000000
1027.060655,0.319362,192972.000000,92498.000000
1030.828159,0.319033,193493.000000,92818.000000
1034.591500,0.316850,193678.000000,93375.000000
1038.350679,0.314200,193541.000000,93880.000000
1042.105695,0.313109,193076.000000,93890.000000
1047.105908,0.312827,192145.000000,93498.000000
1050.851212,0.310761,191816.000000,93783.000000
1054.592353,0.307416,191081.000000,94146.000000
1058.329331,0.307108,190177.000000,93767.000000
1062.062147,0.306406,189720.000000,93693.000000
1065.790801,0.304164,189694.000000,94165.000000
1069.515292,0.301397,189652.000000,94746.000000
1073.235620,0.300636,189448.000000,94810.000000
1076.951786,0.299215,189405.000000,95099.000000
1080.663789,0.297392,189835.000000,95716.000000
1084.371630,0.295701,190358.000000,96354.000000
1089.308943,0.292158,190410.000000,97170.000000
1093.007071,0.292764,190988.000000,97329.000000
1096.701037,0.291905,191821.000000,97947.000000
1100.390840,0.290248,192263.000000,98548.000000
1104.076481,0.290272,192389.000000,98607.000000
1107.757959,0.289867,192652.000000,98834.000000
1111.435274,0.288600,193082.000000,99344.000000
1115.108427,0.287598,193234.000000,99652.000000
1118.777418,0.285609,193156.000000,100069.000000
1122.442246,0.284161,193177.000000,100414.000000
1126.102912,0.282750,193066.000000,100683.000000
1130.977324,0.282187,192839.000000,100695.000000
1134.628277,0.278748,192878.000000,101516.000000
1138.275067,0.277805,192903.000000,101750.000000
1141.917695,0.277096,192829.000000,101877.000000
1145.556160,0.275728,192832.000000,102200.000000
1149.190463,0.273183,192718.000000,102740.000000
1152.820603,0.272554,192844.000000,102956.000000
1156.446581,0.270725,193132.000000,103545.000000
1160.068396,0.270048,193399.000000,103850.000000
1163.686049,0.269454,193754.000000,104183.000000
1167.299539,0.267712,194327.000000,104911.000000
1172.111051,0.266382,195511.000000,105874.000000
1175.714828,0.266561,196715.000000,106482.000000
1179.314443,0.264825,198057.000000,107638.000000
1182.909896,0.263905,199867.000000,108852.000000
1186.501186,0.265228,201952.000000,109653.000000
1190.088313,0.266452,204430.000000,110686.000000
1193.671278,0.265338,206898.000000,112310.000000
1197.250081,0.265426,209514.000000,113707.000000
1200.824720,0.266071,212014.000000,114893.000000
1204.395198,0.266505,215006.000000,116398.000000
1207.961512,0.266736,218192.000000,118060.000000
1212.710124,0.269218,222697.000000,119811.000000
1216.266726,0.267900,226129.000000,122027.000000
1219.819166,0.267332,229879.000000,124213.000000
1223.367443,0.267938,233734.000000,126120.000000
1226.911558,0.267803,237415.000000,128146.000000
1230.451510,0.266892,241303.000000,130518.000000
1233.987299,0.266163,245662.000000,133099.000000
1237.518926,0.267291,249852.000000,135018.000000
1241.046391,0.266530,254116.000000,137563.000000
1244.569693,0.265469,258582.000000,140323.000000
1248.088832,0.265313,263190.000000,142875.000000
1252.774543,0.266205,269335.000000,145911.000000
1256.283970,0.268027,273320.000000,147450.000000
1259.789234,0.269351,277310.000000,149147.000000
1263.290336,0.267855,280944.000000,151623.000000
1266.787275,0.268580,284632.000000,153357.000000
1270.280052,0.267403,288252.000000,155729.000000
1273.768666,0.267630,293327.000000,158388.000000
1277.253118,0.266251,300332.000000,162686.000000
1280.733407,0.266334,308094.000000,166859.000000
1284.209534,0.266550,315432.000000,170748.000000
1287.681498,0.266250,322096.000000,174476.000000
1292.304308,0.267284,330682.000000,178701.000000
1295.766560,0.267621,336095.000000,181485.000000
1299.224649,0.267751,340804.000000,183973.000000
1302.678575,0.268665,345564.000000,186150.000000
1306.128339,0.269293,349871.000000,188198.000000
1309.573940,0.270368,353450.000000,189653.000000
1313.015379,0.270036,356528.000000,191451.000000
1316.452656,0.270406,359525.000000,192896.000000
1319.885770,0.271190,362042.000000,193896.000000
1323.314721,0.271248,363642.000000,194727.000000
1326.739510,0.271404,364791.000000,195272.000000
1331.299419,0.271995,366507.000000,195924.000000
1334.714496,0.271598,367277.000000,196515.000000
1338.125409,0.272310,367127.000000,196113.000000
1341.532160,0.272141,366818.000000,196024.000000
1344.934749,0.272867,366614.000000,195588.000000
1348.333175,0.272971,365783.000000,195098.000000
1351.727439,0.273481,364092.000000,193968.000000
1355.117540,0.274000,362052.000000,192651.000000
1358.503478,0.274382,359698.000000,191230.000000
1361.885254,0.274357,357366.000000,190001.000000
1365.262867,0.274357,354755.000000,188613.000000
1369.759877,0.275984,350829.000000,185828.000000
1373.127778,0.276220,348269.000000,184372.000000
1376.491516,0.277932,346275.000000,182595.000000
1379.851092,0.278507,344852.000000,181604.000000
1383.206505,0.279776,344168.000000,180715.000000
1386.557756,0.282162,344279.000000,179783.000000
1389.904844,0.284588,344388.000000,178838.000000
1393.247769,0.284319,344098.000000,178798.000000
1396.586533,0.286517,343654.000000,177666.000000
1399.921133,0.287163,343280.000000,177209.000000
1403.251571,0.289704,342962.000000,176012.000000
1407.685680,0.294393,342297.000000,173784.000000
1411.006406,0.299427,342159.000000,171712.000000
1414.322969,0.303444,341982.000000,170043.000000
1417.635369,0.307995,341763.000000,168163.000000
1420.943607,0.312331,341440.000000,166335.000000
1424.247682,0.316354,341371.000000,164768.000000
1427.547595,0.321030,341580.000000,163103.000000
1430.843345,0.325346,341810.000000,161599.000000
1434.134933,0.327295,341660.000000,160805.000000
1437.422358,0.330564,341831.000000,159679.000000
1440.705621,0.333603,341912.000000,158603.000000
1445.076830,0.338182,342009.000000,156984.000000
1448.350380,0.342082,341676.000000,155429.000000
1451.619767,0.344339,341251.000000,154431.000000
1454.884993,0.346216,340627.000000,153484.000000
1458.146055,0.345780,339855.000000,153290.000000
1461.402955,0.344805,338987.000000,153242.000000
1464.655693,0.345255,337912.000000,152598.000000
1467.904268,0.345237,336614.000000,152018.000000
1471.148680,0.345591,335386.000000,151340.000000
1474.388930,0.345342,334268.000000,150922.000000
1477.625017,0.346814,332996.000000,149839.000000
1481.933325,0.346661,331210.000000,149088.000000
1485.159700,0.345074,329847.000000,149018.000000
1488.381912,0.345377,328376.000000,148250.000000
1491.599962,0.346282,326833.000000,147246.000000
1494.813849,0.345736,325052.000000,146628.000000
1498.023574,0.344733,323143.000000,146104.000000
1501.229136,0.344478,321148.000000,145287.000000
1504.430536,0.342864,319148.000000,144920.000000
1507.627773,0.342699,317184.000000,144083.000000
1510.820847,0.341375,314847.000000,143458.000000
1514.009759,0.340789,312452.000000,142559.000000
1518.255167,0.340579,309396.000000,141233.000000
1521.434366,0.340054,307062.000000,140337.000000
1524.609403,0.340221,304606.000000,139161.000000
1527.780278,0.339456,301861.000000,138150.000000
1530.946990,0.340550,299041.000000,136515.000000
1534.109539,0.339966,296167.000000,135385.000000
1537.267926,0.340999,293410.000000,133806.000000
1540.422150,0.341306,290499.000000,132385.000000
1543.572212,0.340655,287288.000000,131118.000000
1546.718111,0.341407,284037.000000,129410.000000
1549.859847,0.341820,280599.000000,127722.000000
1554.042355,0.341473,276296.000000,125864.000000
1557.174379,0.342366,272892.000000,124058.000000
1560.302240,0.342877,269185.000000,122229.000000
1563.425939,0.342133,265475.000000,120751.000000
1566.545476,0.342064,261995.000000,119187.000000
1569.660850,0.342776,258149.000000,117245.000000
1572.772061,0.343527,254361.000000,115325.000000
1575.879110,0.344632,250432.000000,113255.000000
1578.981997,0.344269,246303.000000,111481.000000
1582.080720,0.346880,242258.000000,108993.000000
1585.175282,0.346563,238110.000000,107205.000000
1589.294888,0.347278,232516.000000,104514.000000
1592.379737,0.346476,228081.000000,102710.000000
1595.460423,0.346378,223920.000000,100859.000000
1598.536947,0.346418,219564.000000,98888.000000
1601.609308,0.349672,215256.000000,96224.000000
1604.677507,0.347169,211001.000000,94867.000000
1607.741543,0.346780,206310.000000,92841.000000
1610.801417,0.347982,201683.000000,90508.000000
1613.857128,0.345308,197249.000000,89065.000000
1616.908676,0.345982,192851.000000,86944.000000
1619.956062,0.346427,188235.000000,84776.000000
1624.012768,0.346442,182124.000000,82021.000000
1627.050442,0.346164,177676.000000,80069.000000
1630.083953,0.346481,173242.000000,78014.000000
1633.113301,0.344941,168752.000000,76262.000000
1636.138487,0.345817,164075.000000,73999.000000
1639.159510,0.344745,159579.000000,72149.000000
1642.176371,0.346594,155282.000000,69908.000000
1645.189069,0.345456,150489.000000,67928.000000
1648.197605,0.344100,145307.000000,65794.000000
1651.201978,0.341936,139770.000000,63603.000000
1654.202188,0.338435,133743.000000,61353.000000
1658.195994,0.338959,124646.000000,57111.000000
1661.186492,0.333714,116877.000000,54202.000000
1664.172828,0.332265,108207.000000,50349.000000
1667.155001,0.333152,98225.000000,45611.000000
1670.133011,0.331626,87586.000000,40814.000000
1673.106859,0.332781,76523.000000,35564.000000
1676.076545,0.323964,65807.000000,31211.000000
1679.042067,0.324226,56106.000000,26594.000000
1682.003428,0.330945,47549.000000,22192.000000
1684.960626,0.339320,40253.000000,18428.000000
1687.913661,0.338616,34147.000000,15658.000000
1691.844566,0.345657,27628.000000,12465.000000
1694.787889,0.345823,23643.000000,10663.000000
1697.727049,0.343339,20404.000000,9255.000000
1700.662047,0.339164,17606.000000,8063.000000
