Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 2:27:13,,
Header Version:,1,,
System Temp hundredths:,2867,,
Detector Temp hundredths:,2760,,
Humidity hundredths:,4153,,
Lamp PD:,3692,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.423292,21515.000000,8118.000000
904.302718,0.439430,24552.000000,8926.000000
908.203423,0.423103,27294.000000,10303.000000
912.099965,0.429638,30233.000000,11242.000000
917.288880,0.431230,35154.000000,13024.000000
921.175709,0.424963,39950.000000,15016.000000
925.058377,0.403625,46021.000000,18169.000000
928.936881,0.401833,52998.000000,21010.000000
932.811223,0.397648,60222.000000,24105.000000
936.681403,0.389609,67147.000000,27379.000000
940.547420,0.380405,73468.000000,30598.000000
944.409274,0.375653,79411.000000,33437.000000
948.266966,0.367774,85015.000000,36452.000000
952.120496,0.360960,90779.000000,39539.000000
955.969862,0.348485,96657.000000,43326.000000
961.095876,0.341264,104792.000000,47760.000000
964.935531,0.335484,111238.000000,51377.000000
968.771023,0.331116,118062.000000,55080.000000
972.602352,0.319041,124925.000000,59925.000000
976.429518,0.316694,131994.000000,63659.000000
980.252523,0.309363,138967.000000,68163.000000
984.071364,0.307313,145920.000000,71912.000000
987.886043,0.301200,152894.000000,76417.000000
991.696560,0.295001,159155.000000,80690.000000
995.502914,0.289012,164870.000000,84748.000000
999.305106,0.283206,170645.000000,88897.000000
1004.368219,0.275871,177445.000000,94014.000000
1008.160698,0.271543,181697.000000,97231.000000
1011.949015,0.266683,185254.000000,100250.000000
1015.733168,0.263727,188105.000000,102488.000000
1019.513160,0.260281,190373.000000,104550.000000
1023.288989,0.258798,191858.000000,105726.000000
1027.060655,0.256342,192972.000000,106943.000000
1030.828159,0.253789,193493.000000,107864.000000
1034.591500,0.252007,193678.000000,108411.000000
1038.350679,0.250240,193541.000000,108776.000000
1042.105695,0.250799,193076.000000,108375.000000
1047.105908,0.251768,192145.000000,107612.000000
1050.851212,0.252022,191816.000000,107365.000000
1054.592353,0.251542,191081.000000,107072.000000
1058.329331,0.253209,190177.000000,106157.000000
1062.062147,0.255223,189720.000000,105412.000000
1065.790801,0.255654,189694.000000,105293.000000
1069.515292,0.255942,189652.000000,105200.000000
1073.235620,0.259476,189448.000000,104235.000000
1076.951786,0.262149,189405.000000,103572.000000
1080.663789,0.263545,189835.000000,103474.000000
1084.371630,0.265223,190358.000000,103359.000000
1089.308943,0.267013,190410.000000,102962.000000
1093.007071,0.271016,190988.000000,102327.000000
1096.701037,0.273641,191821.000000,102154.000000
1100.390840,0.276191,192263.000000,101790.000000
1104.076481,0.280233,192389.000000,100913.000000
1107.757959,0.282906,192652.000000,100431.000000
1111.435274,0.284203,193082.000000,100355.000000
1115.108427,0.286627,193234.000000,99875.000000
1118.777418,0.288439,193156.000000,99419.000000
1122.442246,0.290939,193177.000000,98859.000000
1126.102912,0.293404,193066.000000,98243.000000
1130.977324,0.300231,192839.000000,96597.000000
1134.628277,0.303740,192878.000000,95839.000000
1138.275067,0.307803,192903.000000,94959.000000
1141.917695,0.313563,192829.000000,93672.000000
1145.556160,0.318249,192832.000000,92668.000000
1149.190463,0.321819,192718.000000,91855.000000
1152.820603,0.327264,192844.000000,90770.000000
1156.446581,0.331988,193132.000000,89922.000000
1160.068396,0.336533,193399.000000,89109.000000
1163.686049,0.341807,193754.000000,88195.000000
1167.299539,0.344717,194327.000000,87865.000000
1172.111051,0.349079,195511.000000,87517.000000
1175.714828,0.355043,196715.000000,86855.000000
1179.314443,0.358290,198057.000000,86796.000000
1182.909896,0.360648,199867.000000,87115.000000
1186.501186,0.365599,201952.000000,87026.000000
1190.088313,0.370013,204430.000000,87203.000000
1193.671278,0.370953,206898.000000,88065.000000
1197.250081,0.372223,209514.000000,88918.000000
1200.824720,0.373446,212014.000000,89726.000000
1204.395198,0.372675,215006.000000,91154.000000
1207.961512,0.372012,218192.000000,92646.000000
1212.710124,0.372660,222697.000000,94418.000000
1216.266726,0.368656,226129.000000,96761.000000
1219.819166,0.365750,229879.000000,99026.000000
1223.367443,0.363490,233734.000000,101212.000000
1226.911558,0.360765,237415.000000,103453.000000
1230.451510,0.357372,241303.000000,105972.000000
1233.987299,0.355621,245662.000000,108322.000000
1237.518926,0.354435,249852.000000,110471.000000
1241.046391,0.350695,254116.000000,113328.000000
1244.569693,0.347871,258582.000000,116072.000000
1248.088832,0.345683,263190.000000,118737.000000
1252.774543,0.343328,269335.000000,122170.000000
1256.283970,0.342005,273320.000000,124356.000000
1259.789234,0.340511,277310.000000,126606.000000
1263.290336,0.336662,280944.000000,129407.000000
1266.787275,0.334899,284632.000000,131639.000000
1270.280052,0.331926,288252.000000,134229.000000
1273.768666,0.330768,293327.000000,136957.000000
1277.253118,0.327527,300332.000000,141278.000000
1280.733407,0.324321,308094.000000,146003.000000
1284.209534,0.321153,315432.000000,150575.000000
1287.681498,0.317651,322096.000000,155001.000000
1292.304308,0.315215,330682.000000,160028.000000
1295.766560,0.313894,336095.000000,163143.000000
1299.224649,0.312661,340804.000000,165899.000000
1302.678575,0.312228,345564.000000,168384.000000
1306.128339,0.312372,349871.000000,170426.000000
1309.573940,0.312835,353450.000000,171986.000000
1313.015379,0.312822,356528.000000,173489.000000
1316.452656,0.313707,359525.000000,174591.000000
1319.885770,0.315617,362042.000000,175042.000000
1323.314721,0.317323,363642.000000,175126.000000
1326.739510,0.319311,364791.000000,174877.000000
1331.299419,0.322745,366507.000000,174316.000000
1334.714496,0.324577,367277.000000,173947.000000
1338.125409,0.328050,367127.000000,172491.000000
1341.532160,0.330754,366818.000000,171276.000000
1344.934749,0.334481,366614.000000,169718.000000
1348.333175,0.337080,365783.000000,168323.000000
1351.727439,0.340708,364092.000000,166151.000000
1355.117540,0.343477,362052.000000,164170.000000
1358.503478,0.345895,359698.000000,162197.000000
1361.885254,0.347622,357366.000000,160506.000000
1365.262867,0.349669,354755.000000,158584.000000
1369.759877,0.354011,350829.000000,155269.000000
1373.127778,0.355351,348269.000000,153661.000000
1376.491516,0.358587,346275.000000,151647.000000
1379.851092,0.361102,344852.000000,150152.000000
1383.206505,0.364828,344168.000000,148574.000000
1386.557756,0.371031,344279.000000,146514.000000
1389.904844,0.379078,344388.000000,143870.000000
1393.247769,0.385459,344098.000000,141652.000000
1396.586533,0.395365,343654.000000,138279.000000
1399.921133,0.404804,343280.000000,135159.000000
1403.251571,0.416251,342962.000000,131521.000000
1407.685680,0.433688,342297.000000,126100.000000
1411.006406,0.448805,342159.000000,121737.000000
1414.322969,0.462548,341982.000000,117884.000000
1417.635369,0.475652,341763.000000,114307.000000
1420.943607,0.488265,341440.000000,110930.000000
