Method:,Hadamard,,
Host Date-Time:,27/8/18 @ 0:55:5,,
Header Version:,1,,
System Temp hundredths:,2929,,
Detector Temp hundredths:,2816,,
Humidity hundredths:,4089,,
Lamp PD:,3658,,
Shift Vector Coefficients:,-12.3419,0.0873806,-0.000149817,,
Pixel to Wavelength Coefficients:,1814.65,-0.922138,-0.000231252,,
Serial Number:,5490081,,
Scan Config Name:,Hadamard,,
Scan Config Type:,1,,
Start wavelength in nm:,900,,
End wavelength in nm:,1700,,
Pattern Pixel Width:,7,,
Number of Measurement points:,228,,
Num Repeats:,6,,
PGA Gain:,32,,
Total Measurement Time (s):,2,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.397851,0.145616,21515.000000,15386.000000
904.302718,0.158949,24552.000000,17027.000000
908.203423,0.143789,27294.000000,19601.000000
912.099965,0.161000,30233.000000,20868.000000
917.288880,0.162788,35154.000000,24165.000000
921.175709,0.171587,39950.000000,26911.000000
925.058377,0.170992,46021.000000,31043.000000
928.936881,0.176214,52998.000000,35322.000000
932.811223,0.178880,60222.000000,39891.000000
936.681403,0.178901,67147.000000,44476.000000
940.547420,0.181819,73468.000000,48337.000000
944.409274,0.186424,79411.000000,51696.000000
948.266966,0.191604,85015.000000,54688.000000
952.120496,0.193944,90779.000000,58082.000000
955.969862,0.199277,96657.000000,61088.000000
961.095876,0.209907,104792.000000,64628.000000
964.935531,0.215382,111238.000000,67744.000000
968.771023,0.225025,118062.000000,70321.000000
972.602352,0.227788,124925.000000,73937.000000
976.429518,0.240770,131994.000000,75820.000000
980.252523,0.240903,138967.000000,79801.000000
984.071364,0.247993,145920.000000,82437.000000
987.886043,0.256866,152894.000000,84630.000000
991.696560,0.257584,159155.000000,87950.000000
995.502914,0.263372,164870.000000,89902.000000
999.305106,0.266897,170645.000000,92299.000000
1004.368219,0.274060,177445.000000,94407.000000
1008.160698,0.280537,181697.000000,95238.000000
1011.949015,0.281569,185254.000000,96872.000000
1015.733168,0.286680,188105.000000,97212.000000
1019.513160,0.289604,190373.000000,97724.000000
1023.288989,0.293784,191858.000000,97543.000000
1027.060655,0.294228,192972.000000,98009.000000
1030.828159,0.295741,193493.000000,97932.000000
1034.591500,0.298869,193678.000000,97322.000000
1038.350679,0.295569,193541.000000,97995.000000
1042.105695,0.296697,193076.000000,97506.000000
1047.105908,0.294415,192145.000000,97547.000000
1050.851212,0.293947,191816.000000,97485.000000
1054.592353,0.291901,191081.000000,97570.000000
1058.329331,0.291706,190177.000000,97152.000000
1062.062147,0.289510,189720.000000,97410.000000
1065.790801,0.287218,189694.000000,97912.000000
1069.515292,0.285444,189652.000000,98291.000000
1073.235620,0.282382,189448.000000,98880.000000
1076.951786,0.278945,189405.000000,99643.000000
1080.663789,0.278854,189835.000000,99890.000000
1084.371630,0.273546,190358.000000,101397.000000
1089.308943,0.270039,190410.000000,102247.000000
1093.007071,0.267448,190988.000000,103171.000000
1096.701037,0.265521,191821.000000,104082.000000
1100.390840,0.263162,192263.000000,104890.000000
1104.076481,0.259178,192389.000000,105926.000000
1107.757959,0.258579,192652.000000,106217.000000
1111.435274,0.257895,193082.000000,106622.000000
1115.108427,0.253191,193234.000000,107868.000000
1118.777418,0.251344,193156.000000,108284.000000
1122.442246,0.249299,193177.000000,108807.000000
1126.102912,0.245971,193066.000000,109581.000000
1130.977324,0.244272,192839.000000,109881.000000
1134.628277,0.240433,192878.000000,110879.000000
1138.275067,0.239414,192903.000000,111154.000000
1141.917695,0.238318,192829.000000,111392.000000
1145.556160,0.238707,192832.000000,111294.000000
1149.190463,0.235278,192718.000000,112110.000000
1152.820603,0.237180,192844.000000,111693.000000
1156.446581,0.237871,193132.000000,111682.000000
1160.068396,0.238234,193399.000000,111743.000000
1163.686049,0.239586,193754.000000,111600.000000
1167.299539,0.240853,194327.000000,111604.000000
1172.111051,0.242803,195511.000000,111781.000000
1175.714828,0.244600,196715.000000,112005.000000
1179.314443,0.244531,198057.000000,112787.000000
1182.909896,0.248374,199867.000000,112815.000000
1186.501186,0.249885,201952.000000,113596.000000
1190.088313,0.253385,204430.000000,114067.000000
1193.671278,0.254138,206898.000000,115244.000000
1197.250081,0.255999,209514.000000,116202.000000
1200.824720,0.258569,212014.000000,116895.000000
1204.395198,0.259525,215006.000000,118284.000000
1207.961512,0.260056,218192.000000,119890.000000
1212.710124,0.262599,222697.000000,121651.000000
1216.266726,0.260081,226129.000000,124244.000000
1219.819166,0.259680,229879.000000,126421.000000
1223.367443,0.261152,233734.000000,128106.000000
1226.911558,0.258091,237415.000000,131044.000000
1230.451510,0.258058,241303.000000,133200.000000
1233.987299,0.257877,245662.000000,135663.000000
1237.518926,0.257360,249852.000000,138141.000000
1241.046391,0.257291,254116.000000,140521.000000
1244.569693,0.257672,258582.000000,142865.000000
1248.088832,0.257562,263190.000000,145448.000000
1252.774543,0.259852,269335.000000,148061.000000
1256.283970,0.263337,273320.000000,149051.000000
1259.789234,0.264374,277310.000000,150866.000000
1263.290336,0.265156,280944.000000,152568.000000
1266.787275,0.267929,284632.000000,153587.000000
1270.280052,0.266726,288252.000000,155972.000000
1273.768666,0.268722,293327.000000,157990.000000
1277.253118,0.268374,300332.000000,161893.000000
1280.733407,0.270429,308094.000000,165293.000000
1284.209534,0.270044,315432.000000,169380.000000
1287.681498,0.270557,322096.000000,172754.000000
1292.304308,0.273065,330682.000000,176338.000000
1295.766560,0.273689,336095.000000,178967.000000
1299.224649,0.274471,340804.000000,181148.000000
1302.678575,0.275096,345564.000000,183414.000000
1306.128339,0.276973,349871.000000,184899.000000
1309.573940,0.279098,353450.000000,185879.000000
1313.015379,0.278444,356528.000000,187780.000000
1316.452656,0.280577,359525.000000,188431.000000
1319.885770,0.282755,362042.000000,188801.000000
1323.314721,0.283473,363642.000000,189322.000000
